SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,June-7-2023,Single Family Residential,1609 Chouteau St,Fort Benton,MT,59442,259900,6,2.5,Fort Benton,3546,10454,1911,,73,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1609-Chouteau-St-59442/home/104898223,MRMLS,22210810,N,Y,47.8208069,-110.670217
PAST SALE,September-14-2023,Single Family Residential,1708 Saint Charles St,Fort Benton,MT,59442,221000,3,1.0,Fort Benton,1500,10803,1925,,147,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1708-Saint-Charles-St-59442/home/104898726,MRMLS,30010005,N,Y,47.8226165,-110.6710385
PAST SALE,December-5-2022,Mobile/Manufactured Home,428 Halter Lane Ln,Loma,MT,59460,995000,2,1.0,,1100,8842680,1995,,905,,Sold,,,https://www.redfin.com/MT/Loma/428-Halter-Ln-59460/home/183190145,BMTMLS,331899,N,Y,47.9317552,-110.5228386
PAST SALE,November-4-2022,Single Family Residential,1102 Front St,Fort Benton,MT,59442,99500,2,1.0,Fort Benton,1254,6534,1930,,79,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1102-Front-St-59442/home/104898373,MRMLS,22213967,N,Y,47.8143948,-110.6711324
PAST SALE,July-16-2021,Mobile/Manufactured Home,2310 Washington St,Fort Benton,MT,59442,139000,3,1.5,,2240,8276,1985,,62,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2310-Washington-St-59442/home/104898975,BMTMLS,313397,N,Y,47.8271857,-110.6625729
PAST SALE,December-27-2021,Vacant Land,Parcels B & C Hwy 80,Geraldine,MT,59446,239400,,,Geraldine,,11586960,,,,,Sold,,,https://www.redfin.com/MT/Geraldine/Parcels-B-C-Hwy-80-Unknown/home/183266940,MRMLS,22101531,N,Y,47.56228,-110.198102
PAST SALE,September-13-2021,Single Family Residential,1205 11th St,Fort Benton,MT,59442,299900,4,2.0,Fort Benton,2352,11325,1983,,128,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1205-11th-St-59442/home/104898440,MRMLS,22107117,N,Y,47.8166408,-110.6756406
PAST SALE,September-6-2022,Mobile/Manufactured Home,2211 Washington St,Fort Benton,MT,59442,199500,3,2.0,Fort Benton,2862,4356,1975,,70,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2211-Washington-St-59442/home/104898959,MRMLS,22206946,N,Y,47.8259327,-110.6629811
PAST SALE,September-7-2021,Vacant Land,Nhn County Road 225,Carter,MT,59420,399000,,,Carter,,13939200,,,,,Sold,,,https://www.redfin.com/MT/Carter/NHN-Bootlegger-Trl-59420/home/186978741,MRMLS,22017502,N,Y,47.89639,-111.327904
PAST SALE,May-27-2022,Single Family Residential,2210 Steele St,Fort Benton,MT,59442,635000,3,3.0,Fort Benton,3270,17424,2013,,194,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2210-Steele-St-59442/home/104898672,MRMLS,22113897,N,Y,47.8234606,-110.6579443
PAST SALE,October-19-2021,Single Family Residential,1001 Main St,Fort Benton,MT,59442,310000,3,2.0,Fort Benton,1940,8407,1955,,160,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1001-Main-St-59442/home/104899117,BSCMLS,361965,N,Y,47.8138156,-110.6725712
PAST SALE,October-28-2021,Single Family Residential,1004 Main St,Fort Benton,MT,59442,114500,2,1.0,Fort Benton,1156,5662,1912,,99,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1004-Main-St-59442/home/104898425,MRMLS,22114441,N,Y,47.8141648,-110.673089
PAST SALE,April-6-2022,Vacant Land,1108 River St,Fort Benton,MT,59442,90000,,,Fort Benton,,8276,,,,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1108-River-St-59442/home/109754881,MRMLS,22201412,N,Y,47.8141516,-110.6698362
PAST SALE,May-2-2025,Vacant Land,NHN 26th St,Fort Benton,MT,59442,60000,,,Fort Benton,,37810,,,,,Sold,,,https://www.redfin.com/MT/Fort-Benton/NHN-26th-St-59442/Lot/home/195290700,MRMLS,30045955,N,Y,47.82674158,-110.6534619
PAST SALE,December-8-2021,Single Family Residential,244 Collins Ave W,Geraldine,MT,59446,39000,2,1.0,Geraldine,988,10454,1916,,39,,Sold,,,https://www.redfin.com/MT/Geraldine/244-Collins-Ave-W-59446/home/104899573,MRMLS,22115910,N,Y,47.6027791,-110.2681745
PAST SALE,September-3-2021,Single Family Residential,1212 13th St,Fort Benton,MT,59442,240000,3,2.5,,2576,8276,1951,,93,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1212-13th-St-59442/home/104898509,BMTMLS,320188,N,Y,47.8182721,-110.6744616
PAST SALE,October-28-2022,Single Family Residential,335 4th St,Carter,MT,59420,399000,5,3.5,Carter,3696,14810,1910,,108,,Sold,,,https://www.redfin.com/MT/Carter/335-4th-St-59420/home/104898169,MRMLS,22214113,N,Y,47.7813975,-110.9594601
PAST SALE,May-18-2022,Vacant Land,0 Missouri Riv,Other-see Remarks,MT,59442,75000,,,,,3643358,,,,,Sold,,,https://www.redfin.com/MT/Other-See-Remarks/0-Missouri-RIV-59442/home/185093361,BMTMLS,313429,N,Y,47.772031,-110.752707
PAST SALE,April-1-2022,Multi-Family (2-4 Unit),2215 Main St,Fort Benton,MT,59442,240000,2,1.0,,1568,8407,1954,,153,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2215-Main-St-59442/home/147736090,BMTMLS,322100,N,Y,47.8251044,-110.660403
PAST SALE,April-1-2021,Single Family Residential,1004 22nd St,Fort Benton,MT,59442,279900,4,2.0,Fort Benton,2701,8276,1975,,104,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1004-22nd-St-59442/home/104898985,MRMLS,22101985,N,Y,47.8251766,-110.6637654
PAST SALE,February-9-2022,Single Family Residential,1210 Main St,Fort Benton,MT,59442,249900,4,2.0,Fort Benton,2525,6534,1948,,99,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1210-Main-St-59442/home/104898386,MRMLS,22118498,N,Y,47.81608,-110.6711002
PAST SALE,January-14-2022,Vacant Land,Parcel A Hwy 80,Geraldine,MT,59446,324000,,,Geraldine,,15681600,,,,,Sold,,,https://www.redfin.com/MT/Geraldine/Parcel-A-Hwy-80-Unknown/home/183263179,MRMLS,22019220,N,Y,47.531547,-110.223245
PAST SALE,March-21-2021,Single Family Residential,2421 Chouteau St,Fort Benton,MT,59442,232900,5,2.0,Military Add,2240,16988,1978,,104,,Sold,,,https://www.redfin.com/MT/Fort-Benton/2421-Chouteau-St-59442/home/104898532,MRMLS,22101039,N,Y,47.8287447,-110.6617132
PAST SALE,September-9-2022,Mobile/Manufactured Home,124 Broadway Ave E,Highwood,MT,59450,199900,3,2.0,Highwood,1436,10454,1996,,139,,Sold,,,https://www.redfin.com/MT/Highwood/124-Broadway-Ave-E-59450/home/104898302,MRMLS,22211728,N,Y,47.584634,-110.7903767
PAST SALE,December-6-2021,Single Family Residential,915 Franklin Street St,Fort Benton,MT,59442,280000,4,2.0,,2640,8407,1954,,106,,Sold,,,https://www.redfin.com/MT/Fort-Benton/915-Franklin-St-59442/home/104899083,BMTMLS,323172,N,Y,47.8140337,-110.6741014
PAST SALE,October-18-2022,Single Family Residential,1508 Franklin St,Fort Benton,MT,59442,175000,3,1.5,Fort Benton,1406,6098,1957,,124,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1508-Franklin-St-59442/home/104898394,MRMLS,22214086,N,Y,47.8189902,-110.6695883
PAST SALE,February-15-2021,Single Family Residential,911 21st St,Fort Benton,MT,59442,185000,4,1.5,Fort Benton,2288,8276,1963,,81,,Sold,,,https://www.redfin.com/MT/Fort-Benton/911-21st-St-59442/home/104898956,MRMLS,22019245,N,Y,47.8241184,-110.6632375
PAST SALE,May-23-2022,Single Family Residential,2735 Moran Hill Rd,Geraldine,MT,59446,196000,2,1.5,Geraldine,1344,42688,1977,,146,,Sold,,,https://www.redfin.com/MT/Geraldine/2735-Moran-Hill-Rd-59446/home/104898939,MRMLS,22200960,N,Y,47.7514016,-110.3864825
PAST SALE,November-18-2021,Single Family Residential,1101 Franklin St,Fort Benton,MT,59442,180000,3,2.0,Fort Benton,1900,9583,1940,,95,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1101-Franklin-St-59442/home/104898362,MRMLS,22111266,N,Y,47.8152482,-110.672837
PAST SALE,April-18-2022,Single Family Residential,249 Harris Ave E,Highwood,MT,59450,45000,3,1.0,Highwood,1456,13982,1914,,31,,Sold,,,https://www.redfin.com/MT/Highwood/249-Harris-Ave-E-59450/home/104898642,BSCMLS,368798,N,Y,47.586179,-110.7887553
PAST SALE,November-4-2022,Single Family Residential,1102 Front Street St,Fort Benton,MT,59442,99500,2,1.0,,1870,6360,1930,,53,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1102-Front-Street-ST-59442/home/188632023,BMTMLS,335317,N,Y,47.814373,-110.671168
PAST SALE,April-30-2021,Mobile/Manufactured Home,"166 Danburk Street North, Highwood St",Highwood,MT,59450,189000,3,2.0,,1522,13983,2008,,124,,Sold,,,https://www.redfin.com/MT/Highwood/166-Danburk-St-59450/home/183195406,BMTMLS,310704,N,Y,47.5855994,-110.7949481
PAST SALE,September-7-2021,Vacant Land,NHN County Road 225,,MT,59420,399000,,,,,13939200,,,,,Sold,,,https://www.redfin.com/MT/Unknown/NHN-County-Road-225-59420/home/183194499,BMTMLS,312178,N,Y,47.899062,-111.329963
PAST SALE,June-25-2021,Single Family Residential,1215 Main St,Fort Benton,MT,59442,209000,4,2.0,Fort Benton,2128,8451,1950,,98,,Sold,,,https://www.redfin.com/MT/Fort-Benton/1215-Main-St-59442/home/104898350,MRMLS,22106551,N,Y,47.815835,-110.67034
PAST SALE,March-22-2021,Single Family Residential,134 Danburk St S,Highwood,MT,59450,116900,3,1.0,Highwood,1026,13939,1914,,114,,Sold,,,https://www.redfin.com/MT/Highwood/134-Danburk-St-S-59450/home/104898311,MRMLS,22015537,N,Y,47.5845807,-110.7955426
PAST SALE,July-5-2021,Mobile/Manufactured Home,512 Main St,Fort Benton,MT,59442,175900,4,3.0,Fort Benton,2688,12632,1975,,65,,Sold,,,https://www.redfin.com/MT/Fort-Benton/512-Main-St-59442/home/104899012,MRMLS,22008975,N,Y,47.8097892,-110.6778992
